stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,stop_timezone
VKNG,VKNG,Viking,,53.092586,-111.7781331,Canada/Mountain
EVAN,EVAN,Evansburg,,53.594514,-115.008595,Canada/Mountain
EDSN,EDSN,Edson,,53.579558,-116.430566,Canada/Mountain
HINT,HINT,Hinton,,53.4005,-117.590048,Canada/Mountain
BLUE,BLUE,Blue River,,52.105382,-119.300439,Canada/Pacific
CLWT,CLWT,Clearwater,,51.63789,-120.0333789,Canada/Pacific
SUDB,SUDB,Sudbury,,46.4873646,-80.9919029,Canada/Eastern
AZIL,AZIL,Azilda,,46.56410700000001,-81.138044,Canada/Eastern
CHEL,CHEL,Chelmsford,,46.585767,-81.196787,Canada/Eastern
LARC,LARC,Larchwood,,46.57262,-81.28630299999999,Canada/Eastern
LEVA,LEVA,Levack,,46.616805,-81.43404799999999,Canada/Eastern
CART,CART,Cartier,,46.706104,-81.55726399999999,Canada/Eastern
BENN,BENN,Benny,,46.781815,-81.630163,Canada/Eastern
STRL,STRL,Stralak,,46.804797,-81.680016,Canada/Eastern
POGA,POGA,Pogamasing,,46.908917,-81.773197,Canada/Eastern
SHEA,SHEA,Sheahan,,46.940241,-81.797855,Canada/Eastern
FRKS,FRKS,Forks,,47.0487724,-81.86376303434372,Canada/Eastern
MTGM,MTGM,Metagama,,47.09264599999999,-81.94363,Canada/Eastern
SNKR,SNKR,Sinker,,47.148516764471516,-81.9605827331543,Canada/Eastern
BISC,BISC,Biscotasing,,47.299983,-82.102955,Canada/Eastern
RBRT,RBRT,Robert,,47.330224,-82.199461,Canada/Eastern
RAMS,RAMS,Ramsey,,47.446379330357225,-82.33870178461075,Canada/Eastern
WOMR,WOMR,Woman River,,47.511624,-82.628067,Canada/Eastern
SULT,SULT,Sultan,,47.594677,-82.772959,Canada/Eastern
KORM,KORM,Kormak,,47.631224,-82.972526,Canada/Eastern
KINO,KINO,Kinogama,,47.644993,-83.01296599999999,Canada/Eastern
